title,City,Salary,Experience,experience_level,Job Type,functional_area,career_level,skills
Order Fulfillment Manager,Lahore,45000.0,2.0,Junior,Full Time,Retail,Experienced Professional,"Team Building, Order Tracking, Order Processing, Order Management"
Enterprise Business Development Manager,Lahore,82639.59731543624,3.0,Junior,Full Time,Other,Not Specified,"Relationship Building, Sales Acumen, Market Research, Negotiation Skills, Communication Skills, Leadership, Problem Solving, Lead Generation Tools, CRM software proficiency, Salesforce"
Video Editor,Karachi,30000.0,1.0,Entry,Full Time,Other,Not Specified,Video Editor
Branch in Charge (Patokki),Other,60000.0,3.0,Junior,Full Time,Other,Not Specified,"Customer Service, Problem Solving, Communication, Time Management, Customer Relationship Management"
Senior PHP Developer,Lahore,82639.59731543624,3.0,Junior,Full Time,Other,Not Specified,"PHP, MySQL, Javascript, Laravel, HTML, CSS, Git, RESTful Api, Responsive Design, CSS3, React JS"
Php,Lahore,85000.0,2.0,Junior,Full Time,Other,Not Specified,"PHP, MySQL"
Laravel,Karachi,100000.0,4.0,Mid,Full Time,Other,Not Specified,Laravel Framework
HR Executive,Karachi,82639.59731543624,2.0,Junior,Full Time,Other,Not Specified,"Communication, Conflict Resolution, Recruitment, Employee Relations, Organizational Skills, Performance Management, Policy Development, HRIS Software, Training and Development, HRIS (Human Resource Information System), Applicant Tracking System (ATS), Employee Onboarding Software, Performance management software, Training Needs Analysis"
Operations Manager,Karachi,125000.0,2.783132530120482,Junior,Full Time,Operations,Experienced Professional,"Team Management Skills, Leadership Skills, Communication Skills"
Customer Sales Representative,Lahore,35000.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Fluent in English, Coordination Skills, Communication Skills"
Sales Executive,Faisalabad,67500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Communication Skills, Telemarketing  Skills, Sales Management, Fluent in English"
Truck Dispatcher,Lahore,37500.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Email List Management, Dispatch Skills, Coordination Skills"
Customers Sales Representative,Rawalpindi,35000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Sales Management, Sales Automation, Coordination Skills"
Business Development Executive,Islamabad,60000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Coordination Skills, Communication Skills, Negotiations Skills"
Sales Development Representative,Lahore,75000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Communication Skills, Sales Generation, CRM"
Customer Services Representative - Spanish,Lahore,117500.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Fluent in English, Customer Interaction Management, Customer Care Representation"
Civil Engineer,Lahore,150000.0,5.0,Mid,Full Time,Architects & Construction,Experienced Professional,"AutoCAD, Microsoft Office, Civil Design Knowledge"
Customer Support Executive,Lahore,65000.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Fluent in English, Ingredient Management, Customer Service"
Compliance Executive,Karachi,82639.59731543624,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Analytical Skills, Fluent in English, Audits and Investigations"
Recruiter,Karachi,55000.0,1.0,Entry,Full Time,Human Resources,Entry Level,"Pressure Management, HR Policy Management, Employee Relationship Management"
Team Lead Operations,Karachi,80000.0,2.0,Junior,Full Time,Operations,Experienced Professional,"Team Management Skills, Leadership Skills, Communication Skills"
Sales Engineer – Battery Energy Storage Systems,Lahore,82639.59731543624,3.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Customer Analysis, End to End Sales, Electrical Products, Customer Satisfaction Management, Electrical Contracting"
Lathe Machine Operator,Lahore,170000.0,3.0,Junior,Full Time,Industrial Production,Experienced Professional,"Coordination Skills, Teething Machine, Communication Skills, Milling Machine"
Videographer,Islamabad,82639.59731543624,3.0,Junior,Full Time,Creative Design,Experienced Professional,"Graphics Editing, Commercial Videos Knowledge, Video Editing Techniques"
Call Center Agent – Outbound,Lahore,70000.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Communication Skills, Fluent in English, Coordination Skills"
SEO Specialist,Islamabad,65000.0,2.783132530120482,Junior,Full Time,Search Engine Optimization (Seo),Experienced Professional,"SEO, Search Engines Submission, SEO Engine Ranking"
Videographer,Islamabad,82639.59731543624,3.0,Junior,Full Time,Creative Design,Experienced Professional,"Graphics Editing, Commercial Videos Knowledge, Video Editing Techniques"
Registered Nurse,Other,375000.0,1.0,Entry,Full Time,Health & Medicine,Entry Level,"Healthcare Professional, Patient Counseling, Monitor Patient Condition"
Data Analyst,Karachi,70000.0,2.783132530120482,Junior,Full Time,Data Entry,Experienced Professional,"NumPy, Pandas, Python, Power BI"
Accounts Assistant,Lahore,42500.0,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Taxation Knowledge, Accounts Administration, Sales Tax Command"
Procurement Executive - Pharmaceutical Raw Materials,Lahore,65000.0,3.0,Junior,Full Time,Procurement,Experienced Professional,"Pricing Negotiation Skills, Communication Skills, Proactive Leadership"
Sales Representative,Karachi,25000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Communication Skills, Coordination Skills, Sales Management"
Data Analyst,Karachi,70000.0,2.783132530120482,Junior,Full Time,Data Entry,Experienced Professional,"NumPy, Pandas, Python, Power BI"
Product Manager,Lahore,60000.0,2.783132530120482,Junior,Full Time,Product Management,Experienced Professional,"Product Analysis, Product Marketing, Product Management, Communication Skills"
Sales Support Coordinator,Lahore,45000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Multitasking Skills, Coordination Skills, Communication Skills, MS Excel, Microsoft Word, Microsoft Outlook"
Lawyer,Lahore,90000.0,2.783132530120482,Junior,Full Time,Legal Affairs,Experienced Professional,"Coordination Skills, Communication Skills, Legal Affair Handling"
Accounts Officer,Lahore,80000.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Accounts Management, Bookkeeping Knowledge, Financial Accounting"
Sales Support Coordinator,Lahore,45000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Sales Management, Retail Sales, Client Acquisition Skills"
Accounts Officer,Sialkot,35000.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Accounts Software Command, Accounts Adminstration, Accounts Payments Handling"
Sales Executive,Other,32500.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Sales Management, Customer Relationship Management, Market Research, Communication Skills"
Video Editor,Other,42500.0,2.783132530120482,Junior,Full Time,Creative Design,Entry Level,"Video Editing Techniques, Adobe Photo Shop, Canva"
Product Manager - Dermatology,Faisalabad,82639.59731543624,2.783132530120482,Junior,Full Time,Product Management,Entry Level,"Communication Skills, Multitasking Skills, Analytical Skills, Market Research"
